IBGE;IBGE7;UF;uf_s;Nome_UF;Região;Município;Area;Capital;RM;Qual_RM;Nome_RM;amazonia_legal;Semi_arido;fronteira_internacional;costa_litoranea;Cod_RegiaoRural;Nome_RegiaoRural;Mesorregião;Nome_Mesorregião;Pop_Total2010_MESO;Microrregião;Nome_Microrregião;Pop_Total2010_MICRO;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;Estimativa_PerfilCadÚnico_Censo2010;Estimativa_PerfilBolsaFamília_Censo2010;NU_IDENTIFICADOR;q28.2;q28.3;q28.9;q28.10;q28.11;q28.12;q28.13;q28.14;d28.2;d28.9;d28.11;d28.9bin1;d28.9bin2;d28.9bin3;d28.10bin1;d28.10bin2;d28.10bin3;d28.10bin4;d28.10bin5;d28.11bin1;d28.11bin2;d28.11bin3;d28.11bin4;d28.2_categoria
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;13/out/86;Feminino;Especialização;Psicólogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;25/jan/10;31,00;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;Psicólogo;Servidor Estatutário;;;;De 30 a 39 anos
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;21/mar/59;Masculino;Superior Completo;Outra formação de nível superior;Servidor Estatutário;Cuidador(a);40 horas semanais;17/jan/89;58,00;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;25/out/57;Feminino;Especialização;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;23/out/91;60,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;30/out/54;Masculino;Especialização;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;05/jun/84;63,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;17/mar/55;Feminino;Especialização;Outra formação de nível superior;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;22/jun/88;62,00;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;07/mar/69;Feminino;Especialização;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;20/nov/90;48,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;De 40 a 49 anos
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;29/nov/53;Feminino;Especialização;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;20/nov/90;64,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;21/jan/59;Feminino;Especialização;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;03/abr/01;58,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;50 anos ou mais
110002;1100023;RO;RO;Rondônia;Norte;Ariquemes;4426,57;;Não;;;1,00;Não;Não;Não;1101;Região Rural da Capital Regional de Porto Velho;1102;Leste Rondoniense;950720;11003;Ariquemes;171150;90353;76525;13828;Médio;9130;5611;1100023501072;21/out/57;Feminino;Superior Completo;Pedagogo;Servidor Estatutário;Orientador/Educador(a) Social;40 horas semanais;14/dez/89;60,00;Nível Superior;Servidor Estatutário;;;Nível Superior;Pedagogo;;;;;Servidor Estatutário;;;;50 anos ou mais
130120;1301209;AM;AM;Amazonas;Norte;Coari;57921,91;;Não;;;1,00;Não;Não;Não;1302;Região Rural da Metrópole de Manaus;1303;Centro Amazonense;2726732;13006;Coari;152163;75965;49651;26314;Médio;10081;8158;1301203501360;20/jun/59;Feminino;Superior Completo;Outra formação de nível superior;Servidor Estatutário;Coordenador(a);40 horas semanais;25/fev/10;58,00;Nível Superior;Servidor Estatutário;;;Nível Superior;;;;;;Servidor Estatutário;;;;50 anos ou mais
