IBGE;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;NU_IDENTIFICADOR;ident_0_1;ident_0_2;ident_0_3;ident_0_4;ident_0_5;ident_0_6;ident_0_7;ident_0_8;ident_0_9;ident_0_10;ident_0_11;ident_0_12;ident_0_13;ident_0_14;Latitude;Longitude;q_1;q_2;q_3;q_4;q_5;q_6_1;q_6_2;q_7_1;q_7_2;q_7_3;q_7_4;q_7_5;q_7_6;q_8;q_9_1;q_9_2;q_9_3;q_9_4;q_9_5;q_9_6;q_9_7;q_9_8;q_9_9;q_9_10;q_9_11;q_9_12;q_9_13;q_9_14;q_9_99;q_9_99_1;q_10_1;q_10_2;q_10_3;q_10_4;q_10_5;q_10_6;q_10_7;q_10_8;q_10_99;q_10_99_1;q_11_1;q_11_2;q_11_3;q_11_4;q_11_5;q_11_6;q_11_7;q_11_8;q_11_9;q_11_99;q_11_99_1;q_12;q_13;q_14_1;q_14_2;q_14_3;q_14_4;q_14_5;q_14_6;q_14_7;q_14_8;q_14_9;q_14_0;q_15;q_16_1;q_16_2;q_16_3;q_16_4;q_16_5;q_16_6;q_16_7;q_16_8;q_16_9;q_16_10;q_16_0;q_17;q_18_1;q_18_2;q_18_3;q_18_4;q_18_99;q_18_0;q_18_99_1;q_19_1;q_19_2;q_19_3;q_19_4;q_19_0;q_19_4_1;q_20_0;q_20_1;q_20_2;q_20_3;q_20_4;q_20_5;q_20_6;q_20_99;q_20_99_1;q_21_0;q_21_1;q_21_2;q_21_3;q_21_4;q_21_5;q_21_6;q_21_7;q_22;q_23;q_24;q_25;q_26_2;q_26_1;q_26_3;q_26_4;q_26_5;q_26_6;q_26_7;q_26_8;q_26_9;q_26_10;q_26_11;q_26_99;q_26_99_1;q_27_1;q_27_2;q_27_3;q_27_4;q_27_5;q_27_6;q_27_7;q_27_8;q_27_99;q_27_99_1;q_28_1;q_28_2;q_28_3;q_28_4;q_28_5;q_28_6;q_28_7;q_28_8;q_28_9;q_28_10;q_28_11;q_28_12;q_28_13;q_28_14;q_28_99;q_28_0;q_28_99_1;q_29;q_29_1;q_30;q_32;Q_completo;d_6;d_13_sala_excl_categoria;d22_cap_atend_cat;d_29_1;d_31_9bin1_sum;d_31_9bin2_sum;d_31_9bin3_sum;d_31_10bin1_sum;d_31_10bin2_sum;d_31_10bin3_sum;d_31_10bin4_sum;d_31_10bin5_sum;d_31_11bin1_sum;d_31_11bin2_sum;d_31_11bin3_sum;d_31_11bin4_sum;nu_trabalhadores
110002;1100023;11;1;Ariquemes;90353;76525;13828;3;4426,571;1100023400037;CENTRO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS IDADE VIVA;3;Tancredo Neves;3216; ;setor institucional;76872848;ARIQUEMES;RO;scfvcrasariquemes@hotmail.com;(69) 35360508; ; ;13/06/2013;-9.901.519.594.689.710;-6.303.420.328.235.620;2;1; ; ;1;5;8;0;0;0;0;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0;0;0; ;0;0;0;0;0;0;0;1;0;0; ;0;2;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;2;1;1;0;1;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;1;0;1;1;500;6;5;3;1;1;1;1;1;1;1;1;0;0;1;0; ;1;1;1;1;1;0;1;1;0; ;1;0;1;0;1;1;1;0;1;0;1;0;0;1;0;0; ;0; ;1;2;0;2;2;13; ;1;5;1;0;1;0;0;0;2;0;2;3;7
110002;1100023;11;1;Ariquemes;90353;76525;13828;3;4426,571;1100023401878;Centro de Convivencia Espaço Conviver;32;Rua Guatemala;837;5ª rua;setor 10;76876084;ARIQUEMES;RO;scfvcrasariquemes@hotmail.com;(69) 35360508; ; ;13/06/2013;-9.934.495.944.446.770;-63.016.827.932.357.700;2;1; ; ;1;4;8;1;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;0;1;1;0;0; ;0;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;1;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;120;6;5;3;1;1;1;1;0;1;0;1;0;1;1;0; ;1;1;1;1;1;1;1;1;0; ;1;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0; ;0; ;1;2;0;1;1;11; ;0;5;1;0;0;0;0;1;3;0;2;1;6
110002;1100023;11;1;Ariquemes;90353;76525;13828;3;4426,571;1100023408255;CENTRO DE CONVIVÊNCIA ESCOLA PARA A VIDA;32;Canário;1784; ;Setor 02;76873286;ARIQUEMES;RO;abevida@gmail.com;(69) 35352991; ; ;18/03/2000;-99.158.403.144.422;-6.302.399.211.263.650;2;0;03.865.973/0001-81;1;1;5;7;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;1;0;4;0;1;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0;0;80;5;5;4;1;1;1;1;1;1;0;1;1;0;1;0; ;1;0;0;0;0;0;0;1;0; ;0;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;novas midias, gestão de projetos, politicas publicas, projeto politico pedagógico, legislação pertinentes, recursos para narração de historia.;0; ;2;2;0;1;1;8; ;1;5;1;0;0;0;0;0;0;0;0;7;7
110006;1100064;11;1;Colorado do Oeste;18591;13657;4934;1;1451,06;1100063401880;CENTRO DE CONVIVENCIA EDUARDO VALVERDE;32;TIRADENTES;4797; ;BELA VISTA;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33413526; ; ;10/10/1990;-13.113.816.223.360.800;-6.054.846.525.192.260;2;1; ; ;1;5;8;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;0;0;1;0;1;1;1;0;2;0;1;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;200;6;4;4;0;0;1;1;0;0;0;0;0;0;0;1;palestras com temas diversos;1;1;0;1;1;0;0;1;1;uto-estima, violência, doenças sexuais transmissíveis, entre outros; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;3;2;0;2;1;12; ;2;0;0;0;0;0;0;0;2;0;0;0;2
110006;1100064;11;1;Colorado do Oeste;18591;13657;4934;1;1451,06;1100063401881;CENTRO DE CONVIVÊNCIA CENTRO COLORADENSE PARA INFANCIA E ADOLESCENCIA-CCIA;32;TUPI;4352; ;CRUZEIRO;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33411353; ; ;10/01/1983;-1.312.750.408.707.790;-6.054.095.506.668.090;2;1; ; ;1;5;8;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;1;1;1;0;1;0;0;1;1;0;0;0;0;1;0;0;1;1;0;2;0;1;0;0;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;60;5;5;4;1;1;1;0;0;0;0;0;1;0;1;0; ;1;0;0;1;0;0;0;0;1;bullyng,prevenão ao suicidio; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;0;1;0;2;1;6; ;2;3;1;0;0;0;0;0;6;0;0;0;6
110006;1100064;11;1;Colorado do Oeste;18591;13657;4934;1;1451,06;1100063408921;CENTRO DE CONVIVÊNCIA DA INFÂNCIA E JUVENTUDE - CCIA-II;32;PARECIS;5454; ;BELA VISTA;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33414847; ; ;10/09/1998;-13.111.998.083.368.100;-6.054.932.355.880.730;2;1; ; ;1;5;4;1;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;1;0;Através da equipe técnica;1;1;1;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;20;5;5;4;1;1;1;0;0;0;0;1;0;0;1;0; ;1;1;0;1;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;0; ;3;2;0;0;1;2; ;0;2;1;2;0;0;0;0;3;0;0;0;3
110007;1100072;11;1;Corumbiara;8783;2590;6193;1;3060,321;1100073400038;CENTRO DE CONVIVÊNCIA CENTRO CORUMBIARENSE DE CONVIVÊNCIA DA FAMÍLIA;3;Senador Olavo Pires;2275;Prédio;Centro;76995000;CORUMBIARA;RO;cccf_corumbiara@hotmail.com;(69) 33432114; ;(69) 33432114;01/06/2013;-13.000.418.059.596.600;1.379.052.851.200.100;2;1; ; ;1;6;10;1;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;1;1;1;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;1;0;2;1;0;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;1;1;0;0;100;6;5;3;0;1;0;1;0;1;0;1;0;0;0;1;Aulas Karatê e dança;1;0;1;0;0;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0; ;0; ;0;1;0;3;1;10; ;3;4;2;1;1;0;0;0;9;0;0;0;9
110010;1100106;11;1;Guajará-Mirim;41656;35207;6449;2;24855,724;1100103400039;CENTRO DE CONVIVÊNCIA NOVA VIVA;3;15 DE NOVEMBRO;S/Nº;GINÁSIO DE ESPORTES AFONSO RO;10 DE ABRIL;76850000;GUAJARA-MIRIM;RO;semtasguajaramirim@gmail.com;(69) 35418585; ; ;01/07/2013;-10.781.434.895.785.500;-6.533.587.790.870.660;2;1; ; ;1;5;8;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;Ginásio de Esportes;0;0;0;1;0;0;0;0;0; ;0;0;0;0;0;0;1;1;0;0; ;0;0;1;1;1;0;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;0;1;0;2;1;1;1;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ;0;0;0;0;0;1;1;0;30;4;5;3;1;1;1;0;0;1;0;1;1;0;1;0; ;1;1;0;1;1;0;0;1;0; ;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0; ;0; ;3;1;0;2;1;3; ;2;0;2;0;0;0;0;0;4;0;0;0;4
110010;1100106;11;1;Guajará-Mirim;41656;35207;6449;2;24855,724;1100103409617;CENTRO DE CONVIVÊNCIA ESPLENDOR;3;TERRITORIO FEDERAL DE RONDÔNIA;1583; ;DISTRITO DO IATA;76850000;GUAJARA-MIRIM;RO;semtasguajaramirim@gmail.com;(69) 35415546; ; ;01/07/2013;-10.586.606.219.327.700;-653.828.600.049.019;2;1; ; ;2;5;6;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;0; ;0;1;1;1;1;0;1;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;2;1;1;1;0;0;0; ;1;1;0;0;0; ;0;0;0;0;0;0;1;0; ;0;0;0;0;0;1;0;0;30;5;5;3;0;1;1;0;0;0;0;1;1;0;0;0; ;1;1;1;0;0;0;0;1;0; ;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0; ;0; ;3;2;0;1;1;3; ;0;1;2;0;0;0;0;0;3;0;0;0;3
110010;1100106;11;1;Guajará-Mirim;41656;35207;6449;2;24855,724;1100103413230;CENTRO DE CONVIVÊNCIA  ESPERANÇA;3;VALTER BARTOLO;2458;ANTIGA ESCOLA MUNICIPAL;DISTRITO DE SURPRESA;76850000;GUAJARA-MIRIM;RO;semtasguajaramirim@gmail.com;(69) 35433018; ; ;07/06/2013;-10.783;-65.339;2;1; ; ;2;5;6;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;1;0;0; ;0;1;1;1;0;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;2;1;1;0;0;0;0; ;1;1;0;0;0; ;0;1;0;1;0;0;1;0; ;0;0;0;0;0;1;1;1;30;5;4;3;1;1;1;0;0;0;0;1;1;0;1;0; ;1;1;1;0;0;0;0;1;0; ;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0; ;0; ;3;2;0;1;1;3; ;0;0;2;0;0;0;0;0;2;0;0;0;2
