IBGE;UF;Regiao;IBGE7;Municipio;Porte_pop2010;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;areaKm2;Q_completo;NU_IDENTIFICADOR;q58_3;q58_8;q58_9;q58_10;q58_11;q58_12;q58_13;q58_14;q58_15;q58_16;DataCenso;DataCenso_2019;Idade;Faixas_etarias;d_58_8;d_58_8bin1;d_58_8bin2;d_58_8bin3;d_58_9;d_58_9bin1;d_58_9bin2;d_58_9bin3;d_58_9bin4;d_58_9bin5;d_58_10;d_58_10bin1;d_58_10bin2;d_58_10bin3;d_58_10bin4;d_58_8bin1_sum;d_58_8bin2_sum;d_58_8bin3_sum;d_58_9bin1_sum;d_58_9bin2_sum;d_58_9bin3_sum;d_58_9bin4_sum;d_58_9bin5_sum;d_58_10bin1_sum;d_58_10bin2_sum;d_58_10bin3_sum;d_58_10bin4_sum;nu_trabalhador;d_58_14_1bin_Gest∆o;d_58_14_1bin_PAIF;d_58_14_1bin_SCFV;d_58_14_1bin_PSB;d_58_14_1bin_Cadastramento;d_58_14_1bin_Beneficios;d_58_14_1bin_PCF;d_58_14_1bin_Outros;d_58_15_2bin_Gest∆o;d_58_15_2bin_PAIF;d_58_15_2bin_SCFV;d_58_15_2bin_PSB;d_58_15_2bin_Cadastramento;d_58_15_2bin_Beneficios;d_58_15_2bin_PCF;d_58_15_2bin_Outros;d_58_16_3bin_Gest∆o;d_58_16_3bin_PAIF;d_58_16_3bin_SCFV;d_58_16_3bin_PSB;d_58_16_3bin_Cadastramento;d_58_16_3bin_Beneficios;d_58_16_3bin_PCF;d_58_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_58_14_1bin_Gest∆o_sum;d_58_14_1bin_PAIF_sum;d_58_14_1bin_SCFV_sum;d_58_14_1bin_PSB_sum;d_58_14_1bin_Cadastramento_sum;d_58_14_1bin_Beneficios_sum;d_58_14_1bin_PCF_sum;d_58_14_1bin_Outros_sum;d_58_15_2bin_Gest∆o_sum;d_58_15_2bin_PAIF_sum;d_58_15_2bin_SCFV_sum;d_58_15_2bin_PSB_sum;d_58_15_2bin_Cadastramento_sum;d_58_15_2bin_Beneficios_sum;d_58_15_2bin_PCF_sum;d_58_15_2bin_Outros_sum;d_58_16_3bin_Gest∆o_sum;d_58_16_3bin_PAIF_sum;d_58_16_3bin_SCFV_sum;d_58_16_3bin_PSB_sum;d_58_16_3bin_Cadastramento_sum;d_58_16_3bin_Beneficios_sum;d_58_16_3bin_PCF_sum;d_58_16_3bin_Outros_sum
130280;Amazonas;Regi∆o Norte;1302801;MARAA;PEQUENO I;17528;8753;8775;16830,827;SIM;11302803106;Masculino;Superior Completo;Psic¢loga(o);Comissionada(o);Coordenador(a);De 21 a 30 horas semanais;01/ago/19;Outros;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);31.08.2019;31/ago/19;34;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Comissionado;;;Comissionado;;0;4;3;0;2;0;0;1;1;0;1;5;7;;;;;;;;Outros;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;1;1;;;;;1;3;3;;;;;;1;1;3;2;;;;;1;1;1;1;;1;;;3
150420;Par†;Regi∆o Norte;1504208;MARABA;GRANDE;233669;186270;47399;15128,058;SIM;11504202847;Feminino;Especializaá∆o;Assistente Social;Empregada(o) P£blica(o) (CLT);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;03/jan/19;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Concess∆o Benef°cios Eventual;Outros;31.08.2019;31/ago/19;38;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Empregado P£blico (CLT);;Empregado P£blico (CLT);;;1;12;22;3;6;0;0;2;25;1;1;8;35;;PAIF;;;;;;;;;;;;Concess∆o de Benef°cios Eventuais;;;;;;;;;;Outros;;1;;;;1;;1;12;11;5;1;;;;5;5;10;4;;2;2;5;1;;1;2;;;2;2;21
120034;Acre;Regi∆o Norte;1200344;MANOEL URBANO;PEQUENO I;7981;5278;2703;10633,136;SIM;12003494798;Masculino;Superior Completo;Psic¢loga(o);Terceirizada(o);Coordenador(a);De 31 a 40 horas semanais;02/set/19;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);Atividades de gest∆o (administrativo);31.08.2019;31/ago/19;31;30 a 40 anos;N°vel Superior;;;N°vel Superior;Psic¢logo;;;;;Psic¢logo;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;0;0;2;0;1;0;0;1;0;0;0;2;2;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;Gest∆o;;;;;;;;1;1;1;;;;;;;2;;;;;;;;;2;;;;;;1;;;;1;;;
230970;Cear†;Regi∆o Nordeste;2309706;PACATUBA;MEDIO;72299;62095;10204;131,994;SIM;12309701875;Feminino;Fundamental Completo;Sem formaá∆o profissional;Terceirizada(o);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;02/jan/17;;;;31.08.2019;31/ago/19;36;30 a 40 anos;N°vel fundamental;N°vel fundamental;;;Outro profissional de nivel superior;;;;;;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;1;8;6;1;1;0;2;1;1;0;1;13;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;4;2;2;;;;3;;8;4;1;;;;;2;1;7;4;;;;
240260;Rio Grande do Norte;Regi∆o Nordeste;2402600;CEARA-MIRIM;MEDIO;68141;35494;32647;724,381;SIM;12402602430;Masculino;MÇdio Completo;Profissional de n°vel mÇdio;Servidor(a)/Estatut†rio(a);TÇcnico(a) de n°vel superior;De 31 a 40 horas semanais;13/set/19;Serviáo Especializado em Abordagem Social;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Outros;31.08.2019;31/ago/19;37;30 a 40 anos;N°vel MÇdio;;N°vel MÇdio;;Profissional de n°vel mÇdio;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;3;4;0;2;0;1;1;1;0;1;5;7;;;;Serviáo de PSB no domic°lio;;;;;;PAIF;;;;;;;;;;;;;;Outros;;1;;1;;;;1;2;2;;2;;;;1;;3;;1;1;;;2;1;1;1;;2;;;2
270930;Alagoas;Regi∆o Nordeste;2709301;UNIAO DOS PALMARES;MEDIO;62358;47651;14707;420,72;SIM;12709300178;Feminino;MÇdio Completo;Profissional de n°vel mÇdio;Servidor(a) Tempor†ria(o);Apoio Administrativo;De 31 a 40 horas semanais;01/jan/18;Atividades de gest∆o (administrativo);Serviáo Especializado em Abordagem Social;Outros;31.08.2019;31/ago/19;50;41 a 50 anos;N°vel MÇdio;;N°vel MÇdio;;Profissional de n°vel mÇdio;;;;;;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;0;3;4;0;1;0;0;2;0;1;0;6;7;Gest∆o;;;;;;;;;;;Serviáo de PSB no domic°lio;;;;;;;;;;;;Outros;1;;;1;;;;1;2;2;;;;;;3;3;;2;2;;;;;;1;;2;2;;;2
280580;Sergipe;Regi∆o Nordeste;2805802;RIACHAO DO DANTAS;PEQUENO I;19386;4872;14514;530,607;SIM;12805803248;Feminino;Superior Completo;Assistente Social;Servidor(a) Tempor†ria(o);Coordenador(a);De 41 a 44 horas semanais;07/out/19;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;;;31.08.2019;31/ago/19;30;30 a 40 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Outros v°nculos n∆o permanentes;;;;Outros v°nculos n∆o permanentes;1;2;3;0;1;0;1;1;2;0;0;4;6;;PAIF;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;3;;;;;;3;;;;;;;;;;;;;;;;
310350;Minas gerais;Regi∆o Sudeste;3103504;ARAGUARI;GRANDE;109801;102583;7218;2729,508;SIM;13103502296;Feminino;Superior Completo;Assistente Social;Empregada(o) P£blica(o) (CLT);Coordenador(a);De 11 a 20 horas semanais;14/dez/94;Atividades de gest∆o (administrativo);Outros;;31.08.2019;31/ago/19;66;Mais de 60 anos;N°vel Superior;;;N°vel Superior;Assistente Social;;Assistente Social;;;;Empregado P£blico (CLT);;Empregado P£blico (CLT);;;1;0;16;2;7;0;1;6;2;15;0;0;17;Gest∆o;;;;;;;;;;;;;;;Outros;;;;;;;;;1;;;;;;;1;3;11;2;;;;;;;;1;3;7;;;5;;;1;3;1;3;;2
312980;Minas gerais;Regi∆o Sudeste;3129806;IBIRITE;GRANDE;158954;158590;364;72,573;SIM;13129800469;Masculino;MÇdio Incompleto;Profissional de n°vel mÇdio;Servidor(a)/Estatut†rio(a);Outros;De 31 a 40 horas semanais;19/set/91;;;;31.08.2019;31/ago/19;55;51 a 60 anos;N°vel fundamental;N°vel fundamental;;;Profissional de n°vel mÇdio;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;2;3;11;0;5;0;0;6;1;0;5;10;16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;4;1;1;5;;;1;;;;;;;;1;;;;;;;;
320210;Espirito Santo;Regi∆o Sudeste;3202108;ECOPORANGA;PEQUENO II;23212;14779;8433;2285,369;SIM;13202100207;Feminino;MÇdio Completo;Sem formaá∆o profissional;Servidor(a)/Estatut†rio(a);Serviáos Gerais (limpeza, conservaá∆o, motoristas, etc.);De 31 a 40 horas semanais;10/jan/17;Outros;Serviáo de Proteá∆o e Atendimento Especializado a Fam°lias e Indiv°duos;Serviáo de Medida Socioeducativa (Liberdade Assistida ou Prestaá∆o de Serviáo a Comunidade);31.08.2019;31/ago/19;37;30 a 40 anos;N°vel MÇdio;;N°vel MÇdio;;Outro profissional de nivel superior;;;;;;Servidor Estatut†rio;Servidor Estatut†rio;;;;0;10;6;2;1;0;0;2;6;0;2;8;16;;;;;;;;Outros;;PAIF;;;;;;;;;Serviáo de Convivància e Fortalecimento de V°nculo;;;;;;;1;1;;;;;1;4;5;1;;;;;6;1;10;5;;;;;;5;1;7;3;;;;
