IBGE;NU_IDENTIFICADOR;Q_completo;q40_3;q40_8;q40_10;q40_11;q40_12;q40_13;q40_14;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;estado;DataCenso;DataCenso_2019;q40_2_rec;Idade;Faixas_etarias;d_40_8;d_40_11;d_40_8bin1;d_40_8bin2;d_40_8bin3;d_40_10bin1;d_40_10bin2;d_40_10bin3;d_40_10bin4;d_40_10bin5;d_40_11bin1;d_40_11bin2;d_40_11bin3;d_40_11bin4;d_40_8bin1_sum;d_40_8bin2_sum;d_40_8bin3_sum;d_40_10bin1_sum;d_40_10bin2_sum;d_40_10bin3_sum;d_40_10bin4_sum;d_40_10bin5_sum;d_40_11bin1_sum;d_40_11bin2_sum;d_40_11bin3_sum;d_40_11bin4_sum;nu_trabalhadores;filter_$
110012;1100123502325; ;2;252;239;363;254;20;29/08/2017;1100122;11;1;Ji-Paraná;116610;104858;11752;Grande;6896,649;2;31.08.2019;8/31/2019;10/20/1976;42;3;0;4;1; ; ; ; ; ; ; ; ; ; ;1;6;11;30;1;1;0;0;2;0;4;0;43;47;0
150680;1506803501369; ;2;257;235;292;218;20;23/10/2000;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;2;31.08.2019;8/31/2019;1/9/1955;64;5;2;3; ; ;1; ; ; ; ; ; ; ;1; ;2;10;19;3;1;0;0;3;5;1;2;23;31;0
150680;1506803501369; ;1;257;237;363;216;20;03/01/2014;1506807;15;1;Santarém;294580;215790;78790;Grande;17898,389;2;31.08.2019;8/31/2019;3/26/1967;52;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;10;19;3;1;0;0;3;5;1;2;23;31;0
171488;1714883502711; ;1;257;273;266;218;18;07/09/2012;1714880;17;1;Nova Olin;10686;7465;3221;Pequeno I;1566,184;2;31.08.2019;8/31/2019;10/29/1985;33;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;2;7;0;2;0;0;1;0;0;0;9;9;0
221100;2211003500445; ;1;257;275;138;218;20;21/03/2004;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;2;31.08.2019;8/31/2019;8/27/1950;69;5;2;1; ; ;1;1; ; ; ; ;1; ; ; ;8;4;48;15;3;0;0;4;19;4;0;37;60;0
221100;2211003500445; ;2;258;237;138;218;272;17/03/2010;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;2;31.08.2019;8/31/2019;4/30/1965;54;4;2;1; ; ;1; ; ; ; ; ;1; ; ; ;8;4;48;15;3;0;0;4;19;4;0;37;60;0
221100;2211003500445; ;1;257;237;363;349;18;01/06/2010;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;2;31.08.2019;8/31/2019;6/18/1981;38;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;8;4;48;15;3;0;0;4;19;4;0;37;60;0
221100;2211003500713; ;1;257;275;138;218;20;20/02/2002;2211001;22;2;Teresina;814230;767557;46673;Grande;1391,981;2;31.08.2019;8/31/2019;12/27/1968;50;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;0;0;25;23;2;0;0;0;23;0;0;2;25;0
230440;2304403500868; ;1;258;237;363;218;272;01/06/2009;2304400;23;2;Fortaleza;2452185;2452185;0;Metrópole;314,93;2;31.08.2019;8/31/2019;11/8/1958;60;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;12;41;4;0;0;1;5;0;0;0;56;56;0
230730;2307303502079; ;1;258;275;142;218;20;01/02/2017;2307304;23;2;Juazeiro;249939;240128;9811;Grande;248,832;2;31.08.2019;8/31/2019;9/10/1968;50;3;2;4; ; ;1;1; ; ; ; ; ; ; ;1;18;14;36;19;1;0;0;1;0;0;0;68;68;0
230730;2307303502079; ;2;258;241;363;218;272;11/09/2000;2307304;23;2;Juazeiro;249939;240128;9811;Grande;248,832;2;31.08.2019;8/31/2019;8/12/1965;54;4;2;4; ; ;1; ; ; ; ; ; ; ; ;1;18;14;36;19;1;0;0;1;0;0;0;68;68;0
230730;2307303502079; ;1;258;237;142;218;20;01/02/2017;2307304;23;2;Juazeiro;249939;240128;9811;Grande;248,832;2;31.08.2019;8/31/2019;9/14/1982;36;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;18;14;36;19;1;0;0;1;0;0;0;68;68;0
230730;2307303502079; ;1;258;275;142;218;272;02/08/2006;2307304;23;2;Juazeiro;249939;240128;9811;Grande;248,832;2;31.08.2019;8/31/2019;11/20/1979;39;2;2;4; ; ;1;1; ; ; ; ; ; ; ;1;18;14;36;19;1;0;0;1;0;0;0;68;68;0
250750;2507503501677; ;1;257;237;142;218;20;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;6/27/1973;46;3;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;1;258;237;142;218;18;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;3/27/1981;38;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;1;257;274;142;218;18;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;6/3/1965;54;4;2;4; ; ;1; ; ; ; ;1; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;2;254;238;142;250;20;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;8/9/1961;58;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;1;253;239;142;220;20;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;8/28/1965;54;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;1;255;238;142;250;20;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;12/26/1948;70;5;1;4; ;1; ; ; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
250750;2507503501677; ;1;257;275;142;218;20;01/02/2018;2507507;25;2;João Pess;723515;720785;2730;Grande;211,475;2;31.08.2019;8/31/2019;10/2/1963;55;4;2;4; ; ;1;1; ; ; ; ; ; ; ;1;2;5;25;2;2;0;0;6;0;0;1;31;32;0
260280;2602803502049; ;1;255;238;142;371;272;01/01/2018;2602803;26;2;Buíque;52105;21195;30910;Médio;1320,871;2;31.08.2019;8/31/2019;12/17/1959;59;4;1;4; ;1; ; ; ; ; ; ; ; ; ;1;1;4;11;3;0;0;0;2;1;0;0;15;16;0
260600;2606003501175; ;1;252;239;139;349;18;01/08/1994;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552;2;31.08.2019;8/31/2019;8/20/1966;53;4;0;2;1; ; ; ; ; ; ; ; ;1; ; ;6;13;28;5;2;0;0;1;3;12;0;32;47;0
260600;2606003501175; ;1;256;237;139;349;18;01/08/1994;2606002;26;2;Garanhuns;129408;115356;14052;Grande;458,552;2;31.08.2019;8/31/2019;1/30/1967;52;4;1;2; ;1; ; ; ; ; ; ; ;1; ; ;6;13;28;5;2;0;0;1;3;12;0;32;47;0
270430;2704303501365;1;1;258;273;363;218;272;15/04/2014;2704302;27;2;Maceió;932748;932129;619;Metrópole;509,552;2;31.08.2019;8/31/2019;10/9/1988;30;2;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;5;19;2;3;0;0;6;0;0;0;24;24;0
291600;2916003502455; ;1;256;239;363;250;20;02/03/1998;2916005;29;2;Itanhém;20216;14206;6010;Pequeno II;1394,174;2;31.08.2019;8/31/2019;11/1/1968;50;3;1;4; ;1; ; ; ; ; ; ; ; ; ;1;0;1;2;2;0;0;0;0;0;0;0;3;3;0
291800;2918003500953; ;1;255;238;266;254;20;01/01/2016;2918001;29;2;Jequié;151895;139426;12469;Grande;2969,034;2;31.08.2019;8/31/2019;9/23/1979;39;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;3;3;12;2;1;0;0;1;9;0;0;9;18;0
291955;2919553502473; ;1;258;275;138;254;20;31/01/2018;2919553;29;2;Luís Edua;60105;54881;5224;Médio;3940,537;2;31.08.2019;8/31/2019;8/5/1979;40;2;2;1; ; ;1;1; ; ; ; ;1; ; ; ;2;2;28;10;2;0;0;2;16;0;0;16;32;0
310020;3100203501745; ;1;252;239;139;220;20;01/09/1994;3100203;31;3;Abaeté;22690;19704;2986;Pequeno II;1817,065;2;31.08.2019;8/31/2019;3/24/1958;61;5;0;2;1; ; ; ; ; ; ; ; ;1; ; ;1;0;1;0;0;0;0;0;0;2;0;0;2;0
310060;3100603501210; ;1;258;275;139;218;20;01/01/2019;3100609;31;3;Água Boa;15195;7035;8160;Pequeno I;1320,258;2;31.08.2019;8/31/2019;9/1/1966;52;4;2;2; ; ;1;1; ; ; ; ; ;1; ; ;0;2;4;1;0;0;0;1;3;2;0;1;6;0
310350;3103503500586; ;1;258;275;138;216;272;17/12/2012;3103504;31;3;Araguari;109801;102583;7218;Grande;2729,508;2;31.08.2019;8/31/2019;5/13/1972;47;3;2;1; ; ;1;1; ; ; ; ;1; ; ; ;4;11;39;22;3;2;0;2;22;9;0;23;54;0
310510;3105103501020; ;1;253;239;142;254;18;02/01/2017;3105103;31;3;Bambuí;22734;19325;3409;Pequeno II;1455,819;2;31.08.2019;8/31/2019;11/11/1964;54;4;0;4;1; ; ; ; ; ; ; ; ; ; ;1;3;1;5;2;0;0;0;1;0;0;0;9;9;0
310790;3107903500507; ;1;257;274;142;218;262;14/02/2019;3107901;31;3;Bom Repou;10457;5679;4778;Pequeno I;229,845;2;31.08.2019;8/31/2019;11/15/1995;23;1;2;4; ; ;1; ; ; ; ;1; ; ; ;1;0;3;6;3;1;0;0;1;2;2;0;5;9;0
311330;3113303500659; ;1;251;239;363;368;20;01/12/2006;3113305;31;3;Carangola;32296;26059;6237;Pequeno II;353,404;2;31.08.2019;8/31/2019;11/4/1955;63;5;0;4;1; ; ; ; ; ; ; ; ; ; ;1;5;5;19;2;2;0;0;1;1;0;0;28;29;0
312090;3120903500850; ;1;258;237;139;217;18;05/02/2018;3120904;31;3;Curvelo;74219;67382;6837;Médio;3296,2;2;31.08.2019;8/31/2019;3/15/1964;55;4;2;2; ; ;1; ; ; ; ; ; ;1; ; ;0;3;11;1;1;0;0;2;0;4;0;10;14;0
312230;3122303502667; ;1;257;273;363;218;272;18/03/2019;3122306;31;3;Divinópol;213016;207516;5500;Grande;708,115;2;31.08.2019;8/31/2019;5/30/1994;25;1;2;4; ; ;1; ;1; ; ; ; ; ; ;1;0;3;5;0;2;0;0;1;0;0;0;8;8;0
313010;3130103500301; ;1;257;237;142;217;262;17/04/2019;3130101;31;3;Igarapé;34851;32661;2190;Pequeno II;110,942;2;31.08.2019;8/31/2019;1/4/1980;39;2;2;4; ; ;1; ; ; ; ; ; ; ; ;1;3;6;14;1;0;0;0;2;4;2;0;17;23;0
313090;3130903500485; ;2;255;238;363;254;263;02/02/2019;3130903;31;3;Inhapim;24294;13993;10301;Pequeno II;858,024;2;31.08.2019;8/31/2019;12/17/1986;32;2;1;4; ;1; ; ; ; ; ; ; ; ; ;1;6;8;17;2;1;0;0;2;1;0;0;30;31;0
313090;3130903500485; ;1;257;237;266;218;272;02/02/2019;3130903;31;3;Inhapim;24294;13993;10301;Pequeno II;858,024;2;31.08.2019;8/31/2019;12/14/1993;25;1;2;4; ; ;1; ; ; ; ; ; ; ; ;1;6;8;17;2;1;0;0;2;1;0;0;30;31;0
