IBGE;NU_IDENTIFICADOR;co_seq_dirigente;q62_2;q62_3;q62_8;q62_9;q62_10;q62_11;q62_12;q62_13;q62_14;q62_15;q62_16;DataCenso;DataCenso_2020;q62_2_rec;Idade;Faixas_etarias;d62_8;d62_8bin1;d62_8bin2;d62_8bin3;d62_9;d62_9bin1;d62_9bin2;d62_9bin3;d62_9bin4;d62_9bin5;d62_10;d62_10bin1;d62_10bin2;d62_10bin3;d62_10bin4;missing_atividade;d62_14_1bin_Gestão;d62_14_1bin_PAEFI;d62_14_1bin_MSE;d62_14_1bin_ABORDAGEM;d62_14_1bin_PSE_PCDI;d62_14_1bin_Beneficios;d62_14_1bin_CADASTRAMENTO;d62_14_1bin_Outros;d62_15_2bin_Gestão;d62_15_2bin_PAEFI;d62_15_2bin_MSE;d62_15_2bin_ABORDAGEM;d62_15_2bin_PSE_PCDI;d62_15_2bin_Beneficios;d62_15_2bin_CADASTRAMENTO;d62_15_2bin_Outros;d62_16_3bin_Gestão;d62_16_3bin_PAEFI;d62_16_3bin_MSE;d62_16_3bin_ABORDAGEM;d62_16_3bin_PSE_PCDI;d62_16_3bin_Beneficios;d62_16_3bin_CADASTRAMENTO;d62_16_3bin_Outros;q62_9_velha;nu_trabalhador;d62_8bin1_sum;d62_8bin2_sum;d62_8bin3_sum;d62_9bin1_sum;d62_9bin2_sum;d62_9bin3_sum;d62_9bin4_sum;d62_9bin5_sum;d62_10bin1_sum;d62_10bin2_sum;d62_10bin3_sum;d62_10bin4_sum;nu_trabalhadores
314700;13147002389;1105225;01/nov/78;Masculino;Médio Incompleto;Sem formação profissional;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;13/abr/13;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12498105600,00;41;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;283;12;3,00;3,00;6,00;#NULO!;2,00;#NULO!;1,00;1,00;9,00;#NULO!;#NULO!;3,00;12
411580;14115800735;1685906;31/mai/02;Feminino;Médio Incompleto;Sem formação profissional;Outro vínculo não permanente;Estagiário(a);De 21 a 30 horas semanais;01/jun/20;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;13242182400,00;18;18 a 29 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;241;13;2,00;4,00;7,00;#NULO!;2,00;#NULO!;2,00;2,00;7,00;#NULO!;1,00;5,00;13
432130;43213098270;1500874;30/jul/57;Feminino;Médio Incompleto;Sem formação profissional;Outro vínculo não permanente;Serviços Gerais (limpeza, conservação, motoristas, etc.);De 31 a 40 horas semanais;20/abr/20;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;11827296000,00;63;Mais de 60 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;233;7;1,00;1,00;5,00;#NULO!;2,00;#NULO!;1,00;1,00;2,00;#NULO!;1,00;4,00;7
140010;11400101530;1282624;22/fev/88;Feminino;Fundamental Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Outros;De 31 a 40 horas semanais;07/nov/19;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12791865600,00;32;30 a 40 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;273;66;1,00;14,00;51,00;5,00;16,00;#NULO!;1,00;13,00;56,00;#NULO!;5,00;5,00;66
251080;12510800971;1293746;27/ago/78;Feminino;Fundamental Completo;Sem formação profissional;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;10/ago/20;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12492403200,00;42;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;273;15;1,00;3,00;11,00;1,00;2,00;#NULO!;1,00;4,00;7,00;#NULO!;1,00;7,00;15
260520;12605200454;1033006;01/set/78;Feminino;Fundamental Completo;Sem formação profissional;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 31 a 40 horas semanais;16/fev/19;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12492835200,00;41;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;275;10;2,00;3,00;5,00;#NULO!;#NULO!;#NULO!;2,00;1,00;1,00;1,00;1,00;7,00;10
270660;27066098508;546759;18/mar/71;Masculino;Fundamental Completo;Sem formação profissional;Servidor(a)/Estatutário(a);Apoio Administrativo;De 21 a 30 horas semanais;12/jun/17;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12257481600,00;49;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Servidor Estatutário;Servidor Estatutário;#NULO!;#NULO!;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;237;5;1,00;#NULO!;4,00;#NULO!;1,00;#NULO!;1,00;1,00;2,00;#NULO!;#NULO!;3,00;5
270670;12706702224;1650942;25/jun/72;Masculino;Fundamental Completo;Sem formação profissional;Comissionada(o);Coordenador(a);De 31 a 40 horas semanais;08/jan/20;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12297657600,00;48;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Comissionado;#NULO!;#NULO!;Comissionado;#NULO!;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;275;6;2,00;1,00;3,00;#NULO!;1,00;#NULO!;1,00;1,00;#NULO!;#NULO!;1,00;5,00;6
290070;12900701967;679927;13/fev/71;Feminino;Fundamental Completo;Sem formação profissional;Servidor(a) Temporária(o);Técnico(a) de nível superior;De 21 a 30 horas semanais;01/set/17;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12254630400,00;49;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;273;11;1,00;1,00;9,00;#NULO!;2,00;#NULO!;1,00;3,00;#NULO!;#NULO!;1,00;10,00;11
292840;12928403483;1258099;27/mai/71;Feminino;Fundamental Completo;Sem formação profissional;Servidor(a) Temporária(o);Coordenador(a);De 11 a 20 horas semanais;02/jan/19;#NULO!;#NULO!;#NULO!;31.08.2020;31/ago/20;12263529600,00;49;41 a 50 anos;Nível fundamental;Nível fundamental;#NULO!;#NULO!;Sem formação profissional;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;#NULO!;#NULO!;#NULO!;Outros vínculos não permanentes;1,00;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;#NULO!;275;8;1,00;3,00;4,00;#NULO!;2,00;#NULO!;1,00;1,00;#NULO!;#NULO!;#NULO!;8,00;8
