IBGE;NU_IDENTIFICADOR;q62_3;q62_8;q62_9;q62_10;q62_11;q62_12;q62_13;q62_14;q62_15;q62_16;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Regional;DataCenso;DataCenso_2021;Faixas_etarias;d_62_8;d_62_8bin1;d_62_8bin2;d_62_8bin3;d_62_9;d_62_9bin1;d_62_9bin2;d_62_9bin3;d_62_9bin4;d_62_9bin5;d_62_10;d_62_10bin1;d_62_10bin2;d_62_10bin3;d_62_10bin4;d_62_8bin1_sum;d_62_8bin2_sum;d_62_8bin3_sum;d_62_9bin1_sum;d_62_9bin2_sum;d_62_9bin3_sum;d_62_9bin4_sum;d_62_9bin5_sum;d_62_10bin1_sum;d_62_10bin2_sum;d_62_10bin3_sum;d_62_10bin4_sum;nu_trabalhador;d_62_14_1bin_Gestão;d_62_14_1bin_PAIF;d_62_14_1bin_SCFV;d_62_14_1bin_PSB;d_62_14_1bin_Cadastramento;d_62_14_1bin_Beneficios;d_62_14_1bin_PCF;d_62_14_1bin_Outros;d_62_15_2bin_Gestão;d_62_15_2bin_PAIF;d_62_15_2bin_SCFV;d_62_15_2bin_PSB;d_62_15_2bin_Cadastramento;d_62_15_2bin_Beneficios;d_62_15_2bin_PCF;d_62_15_2bin_Outros;d_62_16_3bin_Gestão;d_62_16_3bin_PAIF;d_62_16_3bin_SCFV;d_62_16_3bin_PSB;d_62_16_3bin_Cadastramento;d_62_16_3bin_Beneficios;d_62_16_3bin_PCF;d_62_16_3bin_Outros;Gestao;PAIF;SCFV;PSB;Cadastramento;Beneficios;PCF;Outros;d_62_14_1bin_Gestão_sum;d_62_14_1bin_PAIF_sum;d_62_14_1bin_SCFV_sum;d_62_14_1bin_PSB_sum;d_62_14_1bin_Cadastramento_sum;d_62_14_1bin_Beneficios_sum;d_62_14_1bin_PCF_sum;d_62_14_1bin_Outros_sum;d_62_15_2bin_Gestão_sum;d_62_15_2bin_PAIF_sum;d_62_15_2bin_SCFV_sum;d_62_15_2bin_PSB_sum;d_62_15_2bin_Cadastramento_sum;d_62_15_2bin_Beneficios_sum;d_62_15_2bin_PCF_sum;d_62_15_2bin_Outros_sum;d_62_16_3bin_Gestão_sum;d_62_16_3bin_PAIF_sum;d_62_16_3bin_SCFV_sum;d_62_16_3bin_PSB_sum;d_62_16_3bin_Cadastramento_sum;d_62_16_3bin_Beneficios_sum;d_62_16_3bin_PCF_sum;d_62_16_3bin_Outros_sum
110020;11100202266;0;257;274;138;249;20;23/07/2012;5; ; ;1100205;11;1;Porto Velho;428527;390733;37794;Grande;34090,962; ;2;31.08.2021;8/31/2021;3;2; ; ;1;5; ; ; ; ;1;1;1; ; ; ;2;12;26;0;10;0;0;10;39;0;1;0;40; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ;3;11; ;1;5;4; ;14; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
150140;11501402959;0;258;275;138;248;18;01/03/1996;4; ; ;1501402;15;1;Belém;1393399;1381475;11924;Metrópole;1059,458; ;2;31.08.2021;8/31/2021;5;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ;0;5;18;4;4;0;1;2;23;0;0;0;23; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ;4;5;7;5; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
150210;11502100288;0;257;275;266;249;20;01/02/2021;2; ; ;1502103;15;1;Cametá;120896;52838;68058;Grande;3081,367; ;2;31.08.2021;8/31/2021;2;2; ; ;1;1;1; ; ; ; ;4; ; ; ;1;0;3;6;2;3;0;0;1;4;0;0;5;9; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ;2;5; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
210550;12105502757;0;260;275;266;249;18;04/01/2021;2;3; ;2105500;21;2;João Lisboa;20381;15336;5045;Pequeno II;1135,211; ;2;31.08.2021;8/31/2021;5;2; ; ;1;1;1; ; ; ; ;4; ; ; ;1;1;2;5;1;2;0;1;1;0;0;0;8;8; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ;2;4; ; ; ; ; ;1; ;1;4; ; ; ; ; ; ; ; ; ; ; ; ; 
220470;12204703329;0;258;275;138;21;263;04/01/2021;2;5;1;2204709;22;2;Inhuma;14845;7279;7566;Pequeno I;978,222; ;2;31.08.2021;8/31/2021;3;2; ; ;1;1;1; ; ; ; ;1;1; ; ; ;0;1;5;1;1;0;1;2;4;0;0;2;6; ;1; ; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ; ; ; ; ; ; ;1;1; ; ;1; ; ; ;1;5; ; ; ; ; ; ; ;1; ; ;5; ; ; ;1; ; ; ; ;2; ;3
220595;12205950464;0;258;273;266;21;262;02/01/2021;1;6;99;2205953;22;2;Marcolândia;7812;6707;1105;Pequeno I;139,973; ;2;31.08.2021;8/31/2021;3;2; ; ;1;2; ;1; ; ; ;4; ; ; ;1;0;1;2;0;1;0;0;1;0;0;0;3;3;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ;1; ;1;2;1; ; ; ; ; ; ; ; ;1; ; ;2; ; ; ; ; ; ;1; ; ;2
230640;12306401354;0;253;239;266;252;20;01/06/2021; ; ; ;2306405;23;2;Itapipoca;116065;66909;49156;Grande;1614,159; ;2;31.08.2021;8/31/2021;2;0;1; ; ;8; ; ; ; ; ;4; ; ; ;1;4;7;9;1;4;0;1;2;3;0;1;16;20; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;3;11; ; ; ; ; ;2; ; ;4;3; ; ; ;7; ; ; ; ; ; ; ;7
230640;12306401354;0;255;238;266;248;20;01/06/2021;2;3;99;2306405;23;2;Itapipoca;116065;66909;49156;Grande;1614,159; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;4;7;9;1;4;0;1;2;3;0;1;16;20; ;1; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ; ; ;1;3;11; ; ; ; ; ;2; ; ;4;3; ; ; ;7; ; ; ; ; ; ; ;7
230640;12306401354;0;255;239;138;248;20;16/01/2013;2;4;99;2306405;23;2;Itapipoca;116065;66909;49156;Grande;1614,159; ;2;31.08.2021;8/31/2021;4;1; ;1; ;8; ; ; ; ; ;1;1; ; ; ;4;7;9;1;4;0;1;2;3;0;1;16;20; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ;1; ;1; ; ; ;1;3;11; ; ; ; ; ;2; ; ;4;3; ; ; ;7; ; ; ; ; ; ; ;7
260120;12601202439;0;255;238;266;251;20;01/09/2020;2;4;6;2601201;26;2;Arcoverde;68793;62668;6125;Médio;323,369; ;2;31.08.2021;8/31/2021;4;1; ;1; ;6; ; ; ; ; ;4; ; ; ;1;1;3;5;0;3;0;0;2;5;0;0;4;9; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ; ;1; ;1; ;1; ; ;1;5; ; ; ; ; ;2; ; ;4;1; ; ; ;1; ; ; ;4; ;1; ; 
