IBGE;NU_IDENTIFICADOR;q01;q02;q03;q04;q05;q06;q07;q08;q09;q010;q011;q012;q013;q014;Latitude;Longitude;q1;q2;q3_1;q3_2;q4;q5_1;q5_2;q5_3;q5_4;q5_5;q5_6;q6;q7_1;q7_2;q7_3;q7_4;q7_5;q7_6;q7_7;q7_8;q7_9;q7_10;q7_11;q7_12;q7_13;q7_14;q7_15;q7_16;q7_17;q7_99;q7_99_1;q8_0;q8_1;q8_2;q8_3;q8_4;q8_5;q8_6;q8_7;q8_8;q8_9;q8_99;q8_99_1;q9_1;q9_2;q9_3;q9_4;q9_5;q9_6;q9_7;q9_8;q9_9;q9_10;q9_99;q9_99_1;q10;q11;q12_1;q12_2;q12_3;q12_4;q12_5;q12_6;q12_7;q12_8;q12_99;q12_0;q12_99_1;q13;q14;q15_1;q15_2;q15_3;q15_4;q15_5;q15_6;q15_7;q15_8;q15_9;q15_10;q15_99;q15_0;q15_99_1;q16;q17_1;q17_2;q17_3;q17_4;q17_5;q17_99;q17_0;q17_99_1;q18_1;q18_2;q18_3;q18_99;q18_0;q18_99_1;q19_0;q19_1;q19_2;q19_3;q19_4;q19_5;q19_6;q19_7;q19_8;q19_9;q19_10;q19_11;q19_12;q19_13;q19_14;q19_15;q19_99;q19_99_1;q20_0;q20_97;q20_1;q20_2;q20_3;q20_4;q20_5;q20_6;q20_7;q21;q22;q23;q24;q25_1;q25_2;q25_3;q25_4;q25_5;q25_6;q25_7;q25_8;q25_9;q25_10;q25_11;q25_99;q25_99_1;q26_1;q26_2;q26_3;q26_4;q26_5;q26_6;q26_7;q26_8;q26_9;q26_10;q26_11;q26_12;q26_99;q26_99_1;q27;q28;q29;q30_1;q30_2;q30_3;q30_4;q30_5;q30_6;q30_7;q30_8;q30_99;q30_99_1;q31_1;q31_2;q31_3;q31_4;q31_5;q31_6;q31_7;q31_8;q31_99;q31_0;q31_99_1;q32;q33_1;q33_2;q33_3;q33_4;q33_99;q33_99_1;q34_1;q34_2;q34_3;q34_4;q34_5;q34_6;q34_7;q34_8;q34_9;q34_10;q34_99;q34_0;q34_99_1;q35;IBGE7;UF;Regiao;Município;Pop_total_2010;Pop_Urbana2010;Pop_Rural2010;Porte_pop2010;areaKm2;Q_incompleto;Estadual;q7_1_velha;q7_2_velha;q7_3_velha;q7_4_velha;q7_5_velha;q7_6_velha;q7_7_velha;q7_8_velha;q7_9_velha;q7_10_velha;q7_11_velha;q7_12_velha;q7_13_velha;q7_14_velha;q7_15_velha;q7_16_velha;q7_17_velha;q7_99_velha;q8_0_velha;q8_1_velha;q8_2_velha;q8_3_velha;q8_4_velha;q8_5_velha;q8_6_velha;q8_7_velha;q8_8_velha;q8_9_velha;q8_99_velha;q9_1_velha;q9_2_velha;q9_3_velha;q9_4_velha;q9_5_velha;q9_6_velha;q9_7_velha;q9_8_velha;q9_9_velha;q9_10_velha;q9_99_velha;q12_1_velha;q12_2_velha;q12_3_velha;q12_4_velha;q12_5_velha;q12_6_velha;q12_7_velha;q12_8_velha;q12_99_velha;q12_0_velha;q14_velha;q15_1_velha;q15_2_velha;q15_3_velha;q15_4_velha;q15_5_velha;q15_6_velha;q15_7_velha;q15_8_velha;q15_9_velha;q15_10_velha;q15_99_velha;q15_0_velha;q16_velha;q17_1_velha;q17_2_velha;q17_3_velha;q17_4_velha;q17_5_velha;q17_99_velha;q17_0_velha;q18_1_velha;q18_2_velha;q18_3_velha;q18_99_velha;q18_0_velha;q19_0_velha;q19_1_velha;q19_2_velha;q19_3_velha;q19_4_velha;q19_5_velha;q19_6_velha;q19_7_velha;q19_8_velha;q19_9_velha;q19_10_velha;q19_11_velha;q19_12_velha;q19_13_velha;q19_14_velha;q19_15_velha;q19_99_velha;q20_0_velha;q20_1_velha;q20_2_velha;q20_3_velha;q20_4_velha;q20_5_velha;q20_6_velha;q20_7_velha;q20_97_velha;q29_velha;q30_1_velha;q30_2_velha;q30_3_velha;q30_4_velha;q30_5_velha;q30_6_velha;q30_7_velha;q30_8_velha;q30_99_velha;q31_1_velha;q31_2_velha;q31_3_velha;q31_4_velha;q31_5_velha;q31_6_velha;q31_7_velha;q31_8_velha;q31_99_velha;q31_0_velha;q33_1_velha;q33_2_velha;q33_3_velha;q33_4_velha;q33_99_velha;q34_1_velha;q34_2_velha;q34_3_velha;q34_4_velha;q34_5_velha;q34_6_velha;q34_7_velha;q34_8_velha;q34_9_velha;q34_10_velha;q34_99_velha;q34_0_velha;d_3;d11_sala_excl_categoria;d21_cap_atend_cat;filter_$;d36_9bin1_sum;d36_9bin2_sum;d36_9bin3_sum;d36_10bin1_sum;d36_10bin2_sum;d36_10bin3_sum;d36_10bin4_sum;d36_10bin5_sum;d36_11bin1_sum;d36_11bin2_sum;d36_11bin3_sum;d36_11bin4_sum;nu_trabalhadores
110002;1100023400037;CENTRO DE CONVIVÊNCIA E FORTALECIMENTO DE VÍNCULOS IDADE VIVA;3;Tancredo Neves;3216; ;setor institucional;76872848;ARIQUEMES;RO;scfvcrasariquemes@hotmail.com;(69) 35360508; ; ;13/06/2013;-9.901.519.594.689.710;-6.303.420.328.235.620;2;1;5;8;1;0;0;0;0;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;2;1;1;1;1;1;1;1;1;0;0; ;1;3;1;1;1;1;0;1;1;1;1;0;0;0; ;2;1;0;1;0;0;0;0; ;1;0;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0;500;7;4;3;1;1;1;1;1;1;0;1;0;0;1;0; ;1;1;1;1;0;0;1;1;0;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0;0; ;1;0;1;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1100023;11;1;Ariquemes;90353;76525;13828;Médio;4426,571; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;3;1;1;1;1;0;1;1;1;1;0;0;0;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;13;1; ;2;2; ;1; ; ; ; ; ;3;1;4
110002;1100023401878;Centro de Convivencia Espaço Conviver;32;Rua Guatemala;837;5ª rua;setor 10;76876084;ARIQUEMES;RO;scfvcrasariquemes@hotmail.com;(69) 35360508; ; ;13/06/2013;-9.937.724.460.870.890;-6.301.726.162.433.620;2;1;5;8;1;1;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;2;1;1;1;1;1;1;1;1;0;0; ;1;2;1;0;1;1;0;1;1;1;1;1;0;0; ;2;1;0;1;0;0;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;0;120;7;4;4;1;1;1;1;0;1;0;1;0;0;1;0; ;1;1;1;1;1;0;1;1;0;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;0;0;0;0;0;0; ;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1100023;11;1;Ariquemes;90353;76525;13828;Médio;4426,571; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;2;1;0;1;1;0;1;1;1;1;1;0;0;2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;11;1; ;1;3; ;1; ; ; ;1; ;2;1;4
110002;1100023408255;CENTRO DE CONVIVÊNCIA ESCOLA PARA A VIDA;32;Canário;1784; ;Setor 02;76873286;ARIQUEMES;RO;abevida@gmail.com;(69) 35352991; ; ;18/03/2000;-99.158.403.144.422;-6.302.399.211.263.650;2;1;5;8;3;1;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1;3;1;1;1;1;1;1;1;1;0;0; ;1;6;0;0;1;0;0;0;0;1;1;0;0;0; ;3;0;0;1;0;0;0;0; ;1;0;0;0;0; ;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0; ;0;0;0;0;0;1;0;0;0;90;5;5;4;1;1;1;1;0;1;0;1;0;0;0;1;acompnhamento nas tarefas escolares,;1;1;0;1;1;1;1;1;0;0;0;0;0; ;1;03.865.973/0001-81;1;1;1;1;1;0;0;0;1;1;recursos internacionais;0;1;1;0;1;1;1;0;0;0; ;1;0;0;0;1;0; ;0;0;0;0;0;1;0;0;0;0;1;0;Vivência de autocuidado e cuidado coletivo;2;1100023;11;1;Ariquemes;90353;76525;13828;Médio;4426,571; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;6;0;0;1;0;0;0;0;1;1;0;0;0;3;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;2;2;9;1;1;4;4;2;1; ; ; ; ; ; ;9;9
110003;1100033417819;CENTRO DE CONVIVÊNCIA;32;RUA APIACAS;3219; ;CENTRO;76994000;CABIXI;RO;sempscbx@hotmail.com;(69) 33452898; ; ;28/06/2021;-13.492;-60.545;2;1;1;5;1;1;1;1;1;1;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;0;0;0;0;0;0;0;0;0; ;0;2;1;1;1;1;1;1;1;1;0;0; ;1;4;1;1;0;0;0;0;0;0;1;0;0;0; ;2;0;0;1;0;0;0;0; ;0;0;1;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0; ; ; ; ; ; ; ;150;3;3;4;0;0;1;1;0;0;0;1;0;0;1;0; ;0;1;0;0;0;0;0;0;1;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;1;1;0;0;0;0;0; ;1;0;0;1;0;0; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1100031;11;1;Cabixi;6313;2693;3620;Pequeno I;1314,353; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;4;1;1;0;0;0;0;0;0;1;0;0;0;2;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;11;1; ;1;3;1; ; ; ; ;3; ;1; ;4
110005;1100053417719;CENTRO DE CONVIVÊNCIA  DO IDOSO;32;Florianopolis;489; ;Maranata;76997000;CEREJEIRAS;RO;cras_cerejeiras@hotmail.com;(69) 33422137; ; ;01/06/2004;-13.193.738.378.651.000;-60.811.697.244.644.100;2;1;5;8;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Sindicado Idoso;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;0;1;1;1;0;1;0;0; ;1;2;1;0;0;0;1;0;0;1;0;1;0;0; ;2;1;0;1;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;1;1;0;1;0;1;100;7;4;4;0;0;0;0;0;0;0;1;0;0;0;1;Dança;0;1;0;0;0;0;0;1;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;1;1;1;0;0;0; ;1;0;0;1;0;0; ;0;0;1;1;0;1;0;0;0;0;0;0; ;1;1100056;11;1;Cerejeiras;17029;14419;2610;Pequeno I;2783,3; ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;0;1;0;0;2;1;0;0;0;1;0;0;1;0;1;0;0;2;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;0; ; ; ; ; ; ; ; ; ; ;0;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;2;1;10;1;2;2;2;1;1; ; ; ;4; ;2; ;6
110006;1100063401880;CENTRO DE CONVIVENCIA EDUARDO VALVERDE;32;TIRADENTES;4797; ;BELA VISTA;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33413526; ; ;10/10/1990;-13.113.816.223.360.800;-6.054.846.525.192.260;2;1;5;8;1;0;0;0;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;0;1;0;1;0;0;0; ;1;6;1;0;1;0;1;1;1;0;1;1;0;0; ;2;1;0;1;0;0;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0;90;7;4;3;1;0;1;1;0;1;0;0;0;0;1;0; ;0;0;1;0;0;0;0;1;0;0;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1100064;11;1;Colorado do Oeste;18591;13657;4934;Pequeno I;1451,06; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;0;0;0;6;1;0;1;0;1;1;1;0;1;1;0;0;2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ;1;0;0;0;1;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;1;2;1;9;1;2; ; ; ; ; ; ; ;2; ; ; ;2
110006;1100063401881;CENTRO DE CONVIVÊNCIA CENTRO COLORADENSE PARA INFANCIA E ADOLESCENCIA-CCIA;32;TUPI;4352; ;CRUZEIRO;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33411353; ; ;10/01/1983;-1.312.750.408.707.790;-6.054.095.506.668.090;2;1;5;4;1;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;0;1;0;0;0; ;1;4;1;0;1;0;1;0;1;0;1;1;0;0; ;2;1;0;1;0;0;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;0;100;6;4;4;1;0;1;0;0;1;0;1;1;1;1;0; ;1;0;0;0;0;0;1;1;0;0;1;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1100064;11;1;Colorado do Oeste;18591;13657;4934;Pequeno I;1451,06; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;0;0;0;4;1;0;1;0;1;0;1;0;1;1;0;0;2;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ;1;1;0;1;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;1;0;1;10;1;2;4;2; ; ; ; ; ;7; ; ;1;8
110006;1100063408921;CENTRO DE CONVIVÊNCIA DA INFÂNCIA E JUVENTUDE - CCIA-II;32;PARECIS;5454; ;BELA VISTA;76993000;COLORADO DO OESTE;RO;semascolorado@hotmail.com;(69) 33414847; ; ;10/09/1998;-13.111.998.083.368.100;-6.054.932.355.880.730;2;1;5;8;1;1;0;0;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;0;0;0; ;1;4;1;0;1;0;1;1;1;0;1;1;0;0; ;2;0;0;1;0;0;0;0; ;1;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;1;0;0;0;20;4;5;4;1;1;1;0;0;0;0;1;0;0;1;0; ;0;0;0;0;0;0;0;0;0;0;0;0;1;cidadania,cuidados, cuidados com hogiene bucal e corporal;0; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;1;0;0;0;0;0;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;1100064;11;1;Colorado do Oeste;18591;13657;4934;Pequeno I;1451,06; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;0;0;4;1;0;1;0;1;1;1;0;1;1;0;0;2;0;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ;0;0;1;1;0;0;0;0;0;0; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;1;2;1;2;1; ;2;1;3; ; ; ; ;3; ; ; ;3
110007;1100073400038;CENTRO DE CONVIVÊNCIA CENTRO MULTIUSO PROFESSOR JAYME FERREIRA DE ARAUJO;3;ANTONIO NOVAES;2395;Prédio;Centro;76995000;CORUMBIARA;RO;cccf_corumbiara@hotmail.com;(69) 33432114; ;(69) 33432114;01/06/2013;-12.996.821.912.901.400;-6.094.781.398.773.190;2;1;5;8;1;1;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ; ; ;0;1;1;1;1;1;1;1;1;1;0;0; ;1;1;1;0;1;0;1;1;1;0;1;1;0;0; ;2;1;0;0;0;0;0;0; ;0;1;0;0;0; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;1;0;0;1;195;6;4;2;1;1;1;1;0;1;1;1;0;0;1;0; ;1;1;1;1;0;0;1;1;1;1;0;1;0; ;0; ; ; ; ; ; ; ; ; ; ; ; ;1;0;1;1;1;1;1;0;0;0; ;0; ; ; ; ; ; ;0;0;1;1;1;0;1;1;0;0;1;0;Crianças e Adolescentes sem vinculos paternos ou maternos;0;1100072;11;1;Corumbiara;8783;2590;6193;Pequeno I;3060,321; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;0;0;2;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ;1;0;1;1;1;1;1;0;0;0; ; ; ; ; ;0;0;1;1;1;0;1;1;0;0;1;0;2;1;12;1;2;4;1; ;1; ; ; ;7; ; ; ;7
110009;1100093417791;CENTRO DE CONVIVÊNCIA;32;Vale Formoso;1919; ;Vista Alegre;76974000;ESPIGAO DOESTE;RO;ameiaamores2@gmail.com;(69) 84149979; ; ;23/03/2009;-11.535.365.942.197.800;-61.016.092.300.415.000;2;1;5;8;3;0;1;1;0;0;0;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0;0;1;Concurso de Caligrafia;0;0;0;0;0;1;1;0;0;1;0; ;0;1;0;0;1;1;0;1;0;0;1;0;Aulas de Artesanato, Música, Dança, Libras e Caligrafia,;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0; ; ; ; ; ;1; ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Crianças e Adolescentes matriculados,;0;1; ; ; ; ; ; ; ;60;2;5;4;0;1;1;1;0;1;0;1;0;0;0;0; ;1;0;0;0;0;0;0;0;0;0;0;1;0; ;1;11.974.134/0001-20;0;0;0;0;1;0;0;1;0;0; ;0;1;1;0;1;0;0;1;0;0; ;0; ; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0; ;1;1100098;11;1;Espigão D'Oeste;28729;20610;8119;Pequeno II;4518,026; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;1;0;0; ; ; ; ; ;1;0;0;0;0;0;0;0;0;0;0;0;2;1;6;1; ;2;1;1; ; ; ; ; ; ; ;3;3
